@relation data
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute class {'1','2','3','4'}
@data
-1.28751372855607,-1.29705930866768,0.910390840505889,0.648021478842313,1.52435024170742,0.0194351599807939,1.1663692605201,-0.170388982625917,-0.584850057009316,-0.144807899410859,-0.616049254584556,-0.312795990701474,-0.303998700966025,-0.300268921507855,-0.269186693957533,-0.554459205399375,-0.517826550636485,-0.469095692028806,-0.484095318272004,-0.553063153005888,-0.659113000962641,-0.848792006602598,-0.863407428218428,-0.999155333110934,'4'
-1.28751372855607,-1.29705930866768,0.910390840505889,0.650312660193041,1.52435024170742,0.0194351599807939,1.1663692605201,0.086908360295541,-0.584850057009316,-0.140220192769825,-0.618219976568598,-0.312795990701474,-0.306130643155672,-0.298366421794406,-0.269186693957533,-0.555369481152881,-0.517826550636485,-0.469095692028806,-0.484095318272004,-0.549558985109855,-0.659113000962641,-0.848792006602598,-0.861084453222331,-0.999155333110934,'4'
-1.28751372855607,-1.29705930866768,0.910390840505889,0.635801844971766,1.52435024170742,0.0194351599807939,1.1663692605201,0.086908360295541,-0.583376179816771,-0.144807899410859,-0.617496402573917,-0.312795990701474,-0.306130643155672,-0.300268921507855,-0.269186693957533,-0.554459205399375,-0.517826550636485,-0.469095692028806,-0.484095318272004,-0.549558985109855,-0.659113000962641,-0.848792006602598,-0.858761478226234,-0.999155333110934,'4'
-1.2887593670508,-1.29493186925643,0.910390840505889,0.633510663621038,1.52435024170742,0.0194351599807939,1.1663692605201,-0.168589700507585,-0.583376179816771,-0.145572517184365,-0.592894886754783,-0.312795990701474,-0.306130643155672,-0.300268921507855,-0.269186693957533,-0.554459205399375,-0.517826550636485,-0.469095692028806,-0.484095318272004,-0.549558985109855,-0.659113000962641,-0.848792006602598,-0.860310128223632,-0.999155333110934,'4'
-1.28751372855607,-1.29705930866768,0.911192485732396,0.635801844971766,1.52435024170742,0.0194351599807939,1.1663692605201,0.089607283473039,-0.583376179816771,-0.147866370504882,-0.617496402573917,-0.312795990701474,-0.306130643155672,-0.300268921507855,-0.269186693957533,-0.555369481152881,-0.517826550636485,-0.469095692028806,-0.484095318272004,-0.549558985109855,-0.659113000962641,-0.848792006602598,-0.862633103219729,-0.999155333110934,'4'
-1.28626809006135,-1.29705930866768,0.911192485732396,0.635801844971766,1.52435024170742,0.0194351599807939,1.1663692605201,0.0833097960588773,-0.583376179816771,-0.143278663863848,-0.610984236621793,-0.313596438211445,-0.306841290552221,-0.299000588365556,-0.269186693957533,-0.558100308413398,-0.517826550636485,-0.469095692028806,-0.484095318272004,-0.55218711103188,-0.659113000962641,-0.848792006602598,-0.860310128223632,-0.99828613056773,'4'
-1.28502245156662,1.89551810115428,0.911994130958903,0.635038117854856,1.52435024170742,0.0202148414035318,-0.228559744573223,-0.174887187921747,-0.58632393420186,-0.148630988278387,-0.595065608738824,-0.315197333231385,-0.30826258534532,-0.302171421221304,-0.268603751313691,-0.559010584166904,-0.518888037399476,-0.47021988551013,-0.484095318272004,-0.547806901161838,-0.656859325916993,-0.847519487388304,-0.860310128223632,-0.996547725481322,'4'
-1.28003989758773,1.91041017703306,0.915200711864931,0.639620480556312,1.52435024170742,0.0202148414035318,1.1663692605201,0.0770123086447156,-0.588534749990676,-0.148630988278387,-0.616049254584556,-0.318399123271266,-0.311105174931516,-0.305342254077051,-0.271518464532901,-0.552638653892363,-0.519949524162468,-0.471344078991454,-0.484968962825913,-0.546054817213822,-0.653478813348521,-0.84624696817401,-0.860310128223632,-0.993070915308506,'4'
-1.27132042812466,1.91324676291473,0.918407292770959,0.643439116140858,1.52435024170742,0.0209945228262697,-0.229267112222865,0.0716144622897202,-0.591482504375765,-0.153218694919421,-0.610260662627113,-0.324002255841057,-0.31607970670736,-0.309147253503948,-0.846882854004992,-0.552638653892363,-0.52101101092546,-0.471344078991454,-0.485842607379822,-0.542550649317788,-0.648971463257224,-0.843065670138274,-0.852566878236643,-0.987855700049282,'2'
-1.26260095866159,1.91111932350348,0.922415518903494,0.647257751725404,1.52435024170742,0.0225538856717458,1.1663692605201,-0.174887187921747,-0.59295638156831,-0.156277166013444,-0.623284994531361,-0.329605388410849,-0.321054238483204,-0.313586419501995,-0.85212933779957,-0.557190032659892,-0.524195471214435,-0.472468272472779,-0.489337185595459,-0.538170439447747,-0.644464113165927,-0.839884372102539,-0.84714660324575,-0.981771282246854,'2'
