@relation data
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute class {'1','2','3','4','5'}
@data
-0.393181217730675,4.98073210559375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,'1'
-0.347555256509874,-0.19922928422375,4.98073210559375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,'1'
-0.331814521589189,-0.19922928422375,-0.19922928422375,4.98073210559375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,'1'
-0.36396109290608,-0.19922928422375,-0.19922928422375,-0.19922928422375,4.98073210559375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,'1'
-0.290023978877231,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,4.98073210559375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,'1'
-0.340083949934845,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,4.98073210559375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,'1'
-0.0690550986596786,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,4.98073210559375,-0.19922928422375,'1'
-0.365668186693253,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,4.98073210559375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,'1'
0.119412489454038,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,4.98073210559375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,'1'
-0.27763092138334,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,4.98073210559375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,-0.19922928422375,'1'
